0 49
31 48 14
11 16 17
45 47 20
27 44 9
40 46 18
37 47 15
36 41 13
29 49 10
41 47 15
7 24 6
20 39 19
25 37 3
19 28 17
45 47 16
27 46 17
10 37 13
2 19 2
36 42 6
4 9 5
26 39 2
28 34 3
39 44 15
16 41 6
20 46 6
47 49 19
21 33 18
12 14 7
31 49 18
39 45 15
25 31 9
9 37 1
0 22 13
20 26 6
7 15 20
8 9 7
35 42 13
11 12 1
28 46 2
27 31 4
14 25 10
48 49 19
11 31 17
17 22 10
6 18 7
21 47 20
22 42 10
17 21 9
35 38 1
25 40 9
48 49 6
36 38 3
7 15 14
48 49 20
28 29 6
10 35 1
42 47 6
43 45 12
35 45 8
38 48 12
9 31 18
48 49 12
0 2 9
20 32 8
44 48 11
5 17 13
4 31 16
27 44 14
27 36 15
25 36 16
25 38 17
33 40 11
37 49 7
32 48 1
35 49 3
31 40 12
1 24 20
9 40 18
27 45 9
19 22 12
30 37 13
36 39 12
47 49 9
42 45 18
15 16 10
3 22 8
7 13 14
46 48 11
44 48 3
26 37 10
22 49 12
48 49 4
17 18 3
7 27 18
13 23 15
0 1 16
1 3 11
3 4 16
4 5 3
5 6 19
6 7 6
7 8 18
8 10 5
10 11 15
11 20 14
20 30 18
30 43 17
